customer_id,age,city,plan,acquisition_channel,join_date,monthly_income_pln,tenure_months,avg_logins_last_30d,support_tickets_last_30d,satisfaction_score,auto_renew,discount_pct,monthly_spend_pln,churned
C000067,33,Kraków,Standard,organic,2024-05-27,9962.63,13,3,2,8,1,15,111.91,0
C000068,43,Poznań,Premium,paid_search,2023-08-16,5994.53,22,7,0,8,0,0,159.35,0
C000069,41,Lublin,Premium,organic,2025-05-16,9743.7,1,11,0,9,1,20,126.18,0
C000070,29,Wrocław,Standard,organic,2023-05-03,5019.22,26,8,0,8,1,5,125.98,0
C000071,52,Gdańsk,Premium,paid_search,2023-06-04,9146.44,25,16,1,8,1,0,208.42,0
C000072,48,wrocław,Basic,referral,2024-03-19,7158.43,15,13,2,6,1,0,119.69,0
C000073,30,Katowice,Premium,paid_search,2025-01-11,6644.32,5,8,0,8,1,15,108.56,0
C000074,33,Warszawa,Premium,organic,2024-08-14,6772.57,10,11,0,8,1,0,183.9,0
C000075,24,Katowice,Premium,paid_search,2024-05-16,7192.47,13,8,0,8,1,5,156.8,0
C000076,40,ŁÓDŹ,Basic,paid_search,2023-02-09,8150.99,29,6,0,6,1,20,89.45,0
C000077,30,Warszawa,Premium,organic,2024-11-02,13484.64,8,5,0,8,1,20,137.71,0
C000078,27,Łódź,Premium ,social,2023-04-01,12582.78,27,13,1,7,1,0,187.82,1
C000079,34,Gdańsk,Basic,partner,2024-10-12,7059.87,8,3,0,10,1,0,121.62,0
C000080,46,Katowice,Standard,social,2025-03-07,4416.12,3,9,0,10,0,20,96.17,0
C000081,45,Poznań,Premium,paid_search,2024-10-15,6050.98,8,17,0,7,1,5,156.97,0
C000082,31,Gdańsk,Basic,paid_search,2024-01-08,4627.24,18,12,0,8,1,5,107.31,0
C000083,18,Katowice,Basic,organic,2022-01-24,13418.21,41,12,0,9,1,0,180.4,1
C000084,57,Kraków,Basic,paid_search,2024-03-24,11703.69,15,2,0,7,1,5,106.4,1
C000085,35,Gdańsk,Basic,referral,2025-04-29,8272.69,2,10,1,8,0,0,77.61,0
C000086,29,Wrocław,Basic,organic,2025-01-25,8803.57,5,11,0,8,1,0,92.37,0
C000087,44,Katowice,Basic,paid_search,2023-10-28,10085.77,20,4,3,7,1,0,100.26,1
C000088,31,Łódź,Standard,organic,2024-01-01,7759.5,18,14,0,6,1,0,137.46,0
C000089,38,Kraków,Basic,paid_search,2024-02-13,10581.89,16,12,2,7,1,0,120.83,0
C000090,18,Łódź,Standard,organic,2023-07-05,10344.32,24,12,1,9,1,0,155.79,0
C000091,27,Łódź,Basic,organic,2022-12-09,13594.44,31,13,0,8,1,15,140.73,0
C000092,52,Łódź,Basic,referral,2025-06-08,9206.06,1,5,0,7,0,5,52.64,0
C000093,32,Wrocław,Basic,organic,2024-10-20,6664.82,8,16,0,7,1,5,113.89,0
C000094,37,Poznań,Basic,organic,2024-09-28,6378.6,9,7,0,8,0,0,72.26,1
C000095,37,Łódź,Standard,paid_search,2024-03-26,10429.78,15,8,1,8,1,5,136.06,0
C000096,30,Katowice,Basic,organic,2022-07-23,6453.22,35,7,0,6,1,15,132.31,1
C000097,26,Wrocław,Standard,paid_search,2023-01-16,12938.9,29,13,2,6,1,10,161.53,0
C000098,35,Gdańsk,Premium,referral,2022-08-19,4969.83,34,15,1,9,1,0,237.4,0
C000099,30,Lublin,Basic,social,2023-11-06,5081.03,20,5,0,6,1,5,93.72,0
C000100,39,Lublin,Standard,paid_search,2025-03-20,4658.68,3,13,0,6,1,0,108.64,0
C000101,52,Łódź,Standard,referral,2023-05-03,8529.33,26,15,0,9,1,0,188.92,0
C000102,31,Katowice,Basic,paid_search,2022-10-08,8280.81,33,3,0,10,1,0,141.42,1
C000103,36,Lublin,Premium,organic,2025-04-16,9171.8,2,7,3,6,0,5,112.61,1
C000104,23,Kraków,Basic,paid_search,2025-01-20,4958.89,5,12,0,8,1,20,81.08,1
C000105,51,Kraków ,Basic,paid_search,2024-11-08,15793.39,7,3,1,5,1,0,76.41,1
C000106,24,Kraków,basic,organic,2022-01-22,12688.58,41,16,0,9,1,5,176.66,0
C000107,41,Łódź,Standard,social,2023-10-06,8962.14,21,6,2,8,1,15,135.79,1
C000108,32,Łódź,Standard,referral,2023-01-06,8942.97,30,11,2,8,1,5,162.07,1
C000109,31,Katowice,Premium,referral,2022-01-15,6196.4,42,21,0,9,1,0,246.22,0
C000110,32,Poznań,Basic, partner,2025-05-14,7836.42,1,9,0,10,0,5,88.43,1
C000111,32,Łódź,Standard,social,2022-05-19,3726.33,37,17,0,7,1,15,173.59,0
C000112,41,Lublin,Basic,referral,2023-12-14,13964.87,18,18,2,7,0,0,106.07,0
C000113,23,Gdańsk,Basic,organic,2022-07-23,9968.57,35,9,0,6,1,0,134.36,0
C000114,35,Łódź,Premium,organic,2023-12-09,5231.94,19,16,1,5,1,0,179.28,0
C000115,27,Kraków,Standard,partner,2025-06-10,8089.34,1,3,1,7,1,0,82.41,1
C000116,23,Kraków,Standard,ORGANIC,2022-10-14,6323.25,33,15,3,6,1,20,161.37,1
C000117,32,Poznań,Standard,paid_search,2025-01-23,5496.41,5,4,1,5,1,0,94.67,0
C000118,27,Kraków,Premium,social,2023-05-26,5392.42,25,8,0,8,1,20,161.95,0
C000119,32,Poznań,Standard,paid_search,2024-04-02,,15,8,0,9,1,10,103.52,0
C000120,26,Katowice,Basic,paid_search,2024-07-18,7346.56,11,4,0,9,1,0,71.78,0
C000121,18,Wrocław,Basic,social,2022-08-17,8854.85,34,17,0,8,1,0,166.16,0
C000122,27,Warszawa,Basic,paid_search,2023-09-21,8039.63,21,15,1,6,0,0,112.76,0
C000123,25,Wrocław,Basic,social,2023-03-20,6342.82,27,5,1,7,1,10,142.83,0
C000124,48,Gdańsk,Standard,referral,2022-04-22,7060.18,38,6,0,10,0,0,185.49,1
C000125,33,Łódź,Standard,social,2023-02-09,6306.93,29,5,0,7,1,0,170.37,0
C000126,33,Wrocław,Basic,organic,2023-05-06,7411.57,26,16,0,8,1,5,150.9,0
C000127,47,Łódź,Basic,paid_search,2024-07-30,6282.37,11,5,0,9,1,0,95.29,1
C000128,42,Poznań,Basic,organic,2025-04-15,6538.23,2,4,0,9,1,10,69.93,0
C000129,33,Katowice,Standard,paid_search,2022-12-09,12777.93,31,16,6,6,1,0,217.15,0
C000130,41,Kraków,Standard,organic,2024-06-05,27899.28,13,14,2,9,1,0,178.62,0
C000131,35,Kraków,Basic,organic,2025-06-25,13735.75,1,5,2,9,1,10,61.33,0
C000132,42,Poznań,Premium,social,2024-06-15,9298.28,12,17,0,9,1,0,179.57,0
C000133,44,Wrocław,Standard,referral,2022-09-14,11440.57,34,4,0,7,0,5,151.54,0
C000134,56,Łódź,Basic,organic,2022-03-12,12547.45,40,14,0,8,1,15,151.63,0
C000135,45,Katowice,Basic,paid_search,2022-09-03,12304.32,34,9,0,9,0,0,126.47,0
C000136,39,Warszawa,Basic,paid_search,2025-06-20,4166.14,1,10,2,7,1,0,71.24,0
C000137,18,Warszawa,Standard,organic,2023-02-28,9132.65,28,9,2,7,1,5,182.46,0
C000138,28,Wrocław,Basic,social,2024-07-05,8979.46,12,13,1,10,0,10,116.71,1
C000139,60,Katowice,Standard,partner,2022-10-29,7871.38,32,13,0,5,1,5,140.86,0
C000140,42,Wrocław,Standard,paid_search,2022-11-23,10036.61,31,11,3,8,1,5,147.95,1
C000141,40,Poznań,Basic,referral,2023-06-30,12367.45,24,7,1,9,1,0,143.9,0
C000142,44,Gdańsk,Standard,partner,2024-05-29,8782.65,13,6,1,6,1,0,110.9,0
C000143,26,Lublin,Basic,organic,2022-06-19,8399.22,36,12,3,6,1,0,140.36,0
C000144,37,Katowice,Standard,referral,2022-09-14,5409.81,34,12,0,7,1,10,175.36,0
C000145,33,Gdańsk,Standard,organic,2023-08-13,6503.37,22,13,0,8,1,20,158.28,0
C000146,42,Lublin,Standard,organic,2022-07-17,12567.62,36,8,4,6,1,10,149.09,0
C000147,49,Poznań,Standard,organic,2025-06-12,7311.86,1,10,0,7,0,0,83.17,0
C000148,26,Łódź,Standard,organic,2022-04-28,11960.6,38,12,0,9,1,5,184.21,0
C000149,40,Poznań,Basic,partner,2024-07-20,4302.61,11,12,0,10,1,20,102.95,0
C000150,30,Warszawa,Basic,organic,2024-11-23,11023.13,7,11,0,8,1,0,98.17,0
C000151,39,Lublin,Standard,paid_search,2023-07-15,8145.93,23,9,0,10,1,5,177.18,0
C000152,26,Warszawa,Basic,social,2025-03-19,6945.4,3,8,3,7,1,10,68.17,1
C000153,26,Łódź,Standard,paid_search,2023-07-10,9448.39,24,1,1,5,1,20,116.82,1
C000154,27,Wrocław,Basic,referral,2022-09-05,15477.95,34,16,2,8,1,0,178.03,0
C000155,40,Wrocław,Standard,organic,2024-02-16,10790.91,16,9,0,10,0,15,135.44,0
C000156,32,Poznań,Basic,paid_search,2023-08-27,3842.32,22,6,0,7,1,0,117.5,1
C000157,23,Warszawa,Premium,paid_search,2025-05-11,3363.62,1,9,0,8,1,20,109.4,0
C000158,24,Wrocław,Standard,paid_search,2023-07-22,11441.57,23,14,1,9,1,0,153.73,0
C000159,34,Katowice,STANDARD,social,2024-08-17,9207.23,10,14,0,9,1,0,131.2,0
C000160,29,Kraków,Standard,paid_search,2022-12-20,13249.06,30,10,6,5,0,0,182.49,1
C000161,36,Katowice,Standard,social,2023-09-24,7066.32,21,15,2,7,1,15,114.76,0
C000162,51,Gdańsk,Standard,paid_search,2023-04-16,12790.24,26,11,0,7,1,0,169.11,0
C000163,33,Katowice,PREMIUM,referral,2024-05-09,7982.25,13,12,1,6,1,0,171.49,0
C000164,28,Katowice,Standard,referral,2022-10-15,4691.03,33,13,2,8,0,10,164.16,0
C000165,30,Łódź,Standard,referral,2022-02-11,12205.75,41,12,1,8,1,10,173.71,0
C000166,39,Poznań,Standard,organic,2023-08-28,11441.5,22,13,0,6,1,15,154.26,0
C000167,28,Lublin ,Basic,referral,2024-11-14,8376.71,7,12,0,10,0,0,77.01,0
C000168,47,Kraków,Basic, referral,2022-10-15,3436.53,33,20,0,9,0,0,168.38,0
C000169,19,Lublin,Basic,paid_search,2024-05-31,4371.78,13,14,0,9,0,0,114.31,0
C000170,44,Lublin,Standard,organic,2025-03-08,8143.97,3,13,0,8,0,0,88.45,1
C000171,42,Warszawa,Basic,referral,2023-08-07,13195.58,23,7,0,6,1,5,139.55,0
C000172,43,Łódź,Premium,paid_search,2025-03-27,9276.11,3,19,2,6,0,20,126.29,0
C000173,56,Łódź,Basic,partner,2022-04-08,12244.16,39,14,0,7,1,0,167.14,0
C000174,31,Gdańsk,Basic,partner,2024-02-12,15886.23,16,10,1,10,1,0,129.97,0
C000175,25,Warszawa,Basic,organic,2022-08-30,9118.39,34,13,0,7,1,10,150.69,0
C000176,32,Warszawa,Standard,paid_search,2023-02-03,4334.62,29,9,1,6,1,0,157.07,1
C000177,37,,Premium,organic ,2023-01-30,10220.42,29,15,0,7,1,0,224.95,1
C000178,45,Kraków,Standard,social,2023-08-18,12502.18,22,18,1,6,1,15,161.89,0
C000179,23,Katowice ,Standard,paid_search,2023-10-25,9265.77,20,14,0,8,0,0,154.63,0
C000180,33,Kraków,Basic,organic,2023-11-19,2756.92,19,9,0,8,1,15,88.82,0
C000181,47,Lublin,Basic,referral,2022-02-15,3081.27,41,12,0,10,1,10,158.61,1
C000182,52,Łódź,Basic,paid_search,2024-02-24,7870.17,16,6,2,6,1,0,70.86,0
C000183,19,Łódź,premium,social,2022-02-21,10621.52,40,10,1,8,1,0,233.87,0
C000184,34,Poznań, Standard,organic,2024-08-06,14277.97,10,14,1,8,0,10,117.16,0
C000185,62,Kraków,Basic,referral,2023-01-29,5112.37,29,11,4,7,1,0,124.42,0
C000186,27,Lublin,Standard,organic,2023-06-30,5593.94,24,14,0,8,1,0,165.32,0
C000187,25,Warszawa,Standard,partner,2022-06-13,9073.57,37,5,0,6,1,20,166.9,0
C000188,31,Lublin,Basic,referral,2023-03-24,5263.68,27,17,0,7,1,0,155.43,0
C000189,28,Katowice,Basic,referral,2022-02-16,7241.74,41,17,1,9,1,20,153.0,0
C000190,18,Gdańsk,STANDARD,organic,2024-05-16,8384.12,13,3,0,7,1,0,101.61,0
C000191,21,Gdańsk,Standard,organic,2023-11-22,7227.3,19,6,1,6,1,0,116.51,0
C000192,29,Wrocław,Standard,organic,2024-02-29,6223.42,16,13,0,7,1,0,147.17,0
C000193,50,Katowice,Basic,social,2022-06-18,11624.21,36,13,2,6,1,0,170.74,0
C000194,35,Wrocław,Basic,organic,2025-05-29,8286.49,1,5,0,8,0,0,83.16,0
C000195,52,Kraków ,Standard ,organic,2023-02-27,9929.95,28,4,0,7,1,0,158.51,0
C000196,35,Gdańsk,Basic,paid_search,2022-04-01,4167.53,39,10,1,8,1,10,137.55,0
C000197,39,Katowice,Standard,organic,2022-05-06,8685.23,38,12,2,5,1,0,177.34,0
C000198,31,Gdańsk,Premium,paid_search,2022-05-05,6454.11,38,19,0,7,1,20,208.1,0
C000199,51,Warszawa ,Standard,paid_search,2023-01-04,7096.88,30,15,2,8,1,10,198.06,0
C000200,36,Kraków,Standard,organic,2022-06-17,12779.09,37,14,2,8,1,0,187.36,0
C000201,41,Kraków,Standard,organic,2023-08-18,10744.85,22,11,0,7,1,0,142.55,0
C000202,35,Kraków,Basic,paid_search,2024-04-20,6734.43,14,15,0,6,1,20,104.17,0
C000203,35,Kraków,Premium,organic,2023-01-25,9705.37,29,7,1,9,1,10,218.42,0
C000204,63,Wrocław,Premium,organic,2024-04-15,5995.95,14,7,1,9,0,20,171.22,0
C000205,34,Łódź,Premium,partner,2025-01-31,2500,5,11,0,9,1,5,162.24,0
C000206,46,Łódź,Basic,paid_search,2022-06-18,4680.82,36,5,0,7,1,15,105.1,0
C000207,51,Wrocław,Premium,partner,2023-11-08,9616.59,20,11,0,9,1,0,186.4,0
C000208,40,Wrocław,STANDARD,organic,2024-03-05,,16,13,1,9,0,10,119.83,0
C000209,27,Warszawa,Standard,partner,2022-02-16,12472.61,41,7,2,7,1,20,186.84,1
C000210,36,Katowice,Standard,paid_search,2025-04-22,7990.2,2,11,0,6,1,0,93.42,1
C000211,41,Katowice,Basic,organic,2025-01-31,7017.76,5,13,0,8,1,0,98.33,0
C000212,22,Lublin,Standard ,paid_search,2023-06-07,6976.25,25,13,0,10,1,10,143.56,0
C000213,21,Łódź,Premium ,social,2023-12-07,4193.56,19,4,2,7,1,0,155.72,0
C000214,37,Kraków,Standard,organic,2025-02-15,7930.44,4,11,1,7,1,10,90.69,1
C000215,45,Warszawa,Standard,paid_search,2023-08-08,5441.19,23,11,0,10,1,5,183.45,0
C000216,29,Poznań,Standard,paid_search,2022-12-24,6041.33,30,7,1,6,1,0,143.36,0
C000217,20,Lublin,Standard,referral,2023-02-15,6081.09,28,12,0,8,1,10,160.94,0
C000218,37,lublin,Premium,paid_search,2024-05-08,8523.35,13,14,4,5,1,15,160.21,0
C000219,34,Wrocław,Basic,social,2024-05-25,13924.44,13,9,0,10,1,20,107.15,0
C000220,36,Katowice,Basic,PAID_SEARCH,2024-06-24,10475.16,12,12,0,8,0,0,90.18,0
C000221,55,Warszawa,PREMIUM,referral,2023-08-31,10478.14,22,10,0,8,1,0,224.36,0
C000222,31,Łódź,Standard,paid_search,2023-02-13,5463.08,28,9,1,7,1,0,131.99,0
C000223,38,Warszawa,Premium,paid_search,2023-01-04,8379.01,30,20,1,9,1,0,230.38,0
C000224,43,Warszawa,Basic,paid_search,2025-04-21,7610.08,2,5,0,7,1,15,84.91,1
C000225,38,Gdańsk,Basic,organic,2022-01-30,14086.17,41,15,0,7,1,10,179.04,0
C000226,42,Łódź,Basic,organic,2024-11-16,6002.19,7,10,2,7,0,20,69.05,1
C000227,43,Warszawa,Standard,referral,2025-04-01,8673.09,3,6,2,7,1,0,83.88,0
C000228,31,Gdańsk,Premium,paid_search,2022-05-23,15881.09,37,10,1,7,1,10,197.34,1
C000229,25,Poznań,Basic,paid_search,2024-10-07,10105.0,8,10,0,7,0,10,80.59,0
C000230,32,Gdańsk,Premium,organic,2024-01-26,4010.22,17,9,0,6,1,0,186.23,0
C000231,26,Wrocław,Basic,organic,2024-10-16,5759.67,8,14,1,7,1,20,77.26,0
C000232,36,Katowice,Basic,social,,11073.75,27,10,0,8,1,5,129.58,0
C000233,37,Lublin,Standard,paid_search,2024-08-13,6487.97,10,11,0,8,1,0,123.91,0
C000234,35,Lublin,Basic,partner,2023-07-31,4260.26,23,10,2,7,1,20,90.84,1
C000235,21,Gdańsk,Basic,social,2024-03-10,7738.26,15,13,0,10,1,0,98.93,0
C000236,39,Poznań,Standard,social,2025-01-06,8729.64,5,1,0,8,0,0,111.34,0
C000237,31,Poznań,Standard,partner,2024-06-04,9160.77,13,4,0,6,1,15,76.53,0
C000238,35,,Basic,organic,2022-10-22,9359.69,32,5,1,7,1,15,136.91,1
C000239,18,Wrocław,Standard,organic,2025-05-28,10578.32,1,10,0,8,1,20,74.74,0
C000240,37,Gdańsk,Standard,partner,2025-01-17,4836.55,5,5,3,5,1,10,123.44,0
C000241,37,Gdańsk,Standard,organic,2023-02-19,13872.96,28,9,2,8,1,5,161.95,0
C000242,46,Łódź,Basic,referral,2022-06-14,15488.99,37,11,2,7,1,15,130.51,1
C000243,42,Katowice,Basic,PAID_SEARCH,2022-01-08,7567.64,42,8,2,5,1,10,126.04,0
C000244,26,Gdańsk,Standard,organic,2023-11-14,6954.82,19,10,0,8,1,0,121.64,0
C000245,32,Lublin,Basic,social,2023-12-13,6169.26,18,10,0,8,1,20,101.91,0
C000246,40,Wrocław,Standard,referral,2023-09-27,17543.33,21,4,4,6,0,10,149.87,1
C000247,41,Łódź,Basic,social,2025-02-08,11167.05,4,12,1,8,1,0,98.74,0
C000248,31,Łódź,Basic,social,2024-10-28,12412.99,8,9,0,8,1,20,80.48,0
C000249,20,Katowice,Standard,organic,2024-09-01,6741.47,10,12,1,8,0,5,136.01,0
C000250,18,Warszawa,Standard,referral,2023-03-16,6217.42,27,14,1,7,1,10,154.52,0
C000251,48,Wrocław,Basic,organic,2023-02-09,15035.65,29,14,1,8,1,20,148.3,0
C000252,30,Wrocław,Basic,organic,2025-03-18,4904.57,3,7,2,7,1,15,55.47,1
C000253,33,Wrocław,Standard,paid_search,2022-08-19,12763.87,34,10,0,9,1,20,183.44,1
C000254,48,Katowice,Premium,organic,2022-12-07,14358.18,31,11,3,8,0,20,189.65,0
C000255,46,Lublin,Basic,referral,2023-07-05,8250.2,24,14,0,8,1,10,128.21,1
C000256,39,Wrocław,Basic,partner,2023-12-30,8460.04,18,12,0,9,0,0,119.12,1
C000257,35,Lublin,Standard,social,2023-01-26,5261.73,29,15,0,9,1,10,170.36,0
C000258,28,Lublin,Premium,paid_search,2023-01-23,9191.19,29,14,0,8,1,0,217.24,0
C000259,43,Poznań,Standard,organic,2025-01-09,9364.49,5,7,0,9,1,20,84.69,0
C000260,41,Poznań,Standard,partner,2025-06-06,8600.03,1,8,0,8,1,20,110.64,0
C000261,37,Warszawa,Basic,organic,2022-06-18,6177.57,36,17,0,9,0,20,136.96,0
C000262,32,Katowice,Standard,organic,2023-04-22,9391.67,26,7,0,8,1,0,157.29,0
C000263,38,Lublin,Standard,paid_search,2023-03-21,3677.72,27,2,0,6,1,0,134.78,0
C000264,29,Gdańsk,Basic,paid_search,2025-05-15,16492.87,1,13,0,7,1,0,89.46,0
C000265,47,Kraków,Standard,social,2024-12-18,10278.27,6,15,0,8,0,15,117.28,0
C000266,37,Łódź,Standard,paid_search,2023-02-05,4183.02,29,14,2,8,1,20,135.71,0
C000267,34,Poznań,Premium,organic,2022-07-03,13510.52,36,14,0,6,1,15,191.86,0
C000268,39,Poznań,Premium,partner,2022-08-24,3851.45,34,13,0,9,1,0,231.68,0
C000269,27,Wrocław,Basic,referral,2024-07-09,4270.04,11,7,3,7,0,20,80.25,1
C000270,54,Łódź,Premium,referral,2024-12-10,4675.26,6,16,2,7,1,0,159.85,0
C000271,58,Łódź,Standard,paid_search,2024-04-02,10036.64,15,8,0,10,1,10,137.26,0
C000272,41,Łódź,Standard,paid_search,2024-11-06,6746.93,7,14,0,6,1,20,118.58,0
C000273,47,Lublin,Premium,social,2024-02-18,13328.29,16,8,0,10,1,0,179.6,0
C000274,42,Lublin ,Basic,referral,2023-12-30,3621.35,18,7,0,7,1,5,96.24,1
C000275,28,Gdańsk,Basic,organic,2022-10-24,5463.29,32,14,0,7,1,0,113.39,0
C000276,24,Wrocław,Premium,referral,2022-03-29,12983.07,39,15,0,8,1,15,204.23,0
C000277,43,Poznań,Basic,organic,2022-01-02,5856.62,42,13,1,7,0,5,150.03,0
C000278,22,Kraków,Basic,social,2022-10-24,13705.01,32,8,0,7,1,0,142.47,0
C000279,30,Warszawa,Basic,paid_search,2024-10-04,16751.13,9,12,3,7,0,15,88.15,0
C000280,44,Warszawa,Basic,organic,2022-01-08,10467.79,42,13,1,7,1,10,183.54,1
C000281,27,Lublin,Standard,organic,2025-04-02,3265.24,3,11,0,7,1,0,108.33,0
C000282,33,Katowice,Standard,paid_search,2022-03-31,8547.06,39,17,1,7,1,15,154.7,0
